Date,Time,Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Uncore VID [V],SA VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [?],Core 0 [?],Core 1 [?],Core 2 [?],Core 3 [?],Core Distance to TjMAX (avg) [?],Core 0 Distance to TjMAX [?],Core 1 Distance to TjMAX [?],Core 2 Distance to TjMAX [?],Core 3 Distance to TjMAX [?],CPU Package [?],Core Max [?],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [?].1,CPU IA Cores [?],CPU GT Cores (Graphics) [?],iGPU VID [V],VR VCC Current (SVID IOUT) [A],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total System Power [W],System Agent Power [W],Rest-of-Chip Power [W],PCH Power [W],PL1 Power Limit (Static) [W],PL1 Power Limit (Dynamic) [W],PL2 Power Limit (Static) [W],PL2 Power Limit (Dynamic) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Current cTDP Level [],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],Gear Mode [],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",Drive Temperature [?],Drive Remaining Life [%],Drive Available Spare [%],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],Battery Voltage [V],Remaining Capacity [Wh],Charge Level [%],Wear Level [%],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s],Charge Rate [W],Unnamed: 202,Battery_Percentage,Estimated Remaining Time [mins]
9.7.2024,01:56.3,49.8,4983,2931,62.9,1.012,0.96,1.03,1.032,1.027,0.888,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,179,453.6,185.8,342,44.3,164.4,88.3,122.1,31.8,179,4.2,11.1,5.1,8.2,0.2,3.9,2,2.1,0.7,11.1,4.2,100,13.4,34.1,13.4,25.1,3.4,12.3,6.7,9.4,2.6,13.4,41,38,42,42,42,36,52,53,54,52,49,48,47,46,48,51,54,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,61,50,0.73,6.152,7.348,3.012,0.163,11.001,1.557,0.461,0.839,51,15,51,51,450,0.4,0,0,0,0,0,434,2,62.1,4.5,11.6,4.5,8.4,1.1,4.1,2.2,3.1,0.8,86.4,77.8,86.4,89.6,91.9,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.22,140437,60464,15.228,26.865,79.5,36.3,3.5,3.5,281.94,0.69,615,55,2.741,0,-8.475,,80,190.2
9.7.2024,01:58.3,49.8,4901,3013,61.9,1.01,0.96,1.027,1.032,1.02,0.873,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3206.9,223.1,377.4,195.6,216.7,64.9,243.5,295.7,352.2,38.7,223.1,6,9.5,5.9,5.2,2.3,5.9,7.7,9.9,1.7,9.9,6,100,17.2,29.1,14.7,16.2,5.2,17.8,25.2,26.4,3.1,17.2,41,38,42,42,42,35,48,48,50,49,46,52,52,50,51,54,51,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,50,0.73,8.789,7.856,3.542,0.166,11.87,1.57,0.468,0.934,51,15,51,51,450,0.3,0,0,0,0,0,434,2,59.9,5.8,9.9,5.1,5.4,1.7,6,7.7,9.1,1,81.2,74.4,88,78.4,84.2,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.487,140437,60465,15.215,26.85,79.5,36.3,3.5,3.5,282.4,0.67,615,55,2.771,0,-11.37,,80,141.7
9.7.2024,02:00.3,49.8,4901,3012,61.9,0.994,0.96,0.955,1.032,1.027,0.873,0.751,3665,3481.7,3481.7,3848.2,3848.2,91.6,3206.9,166.4,401.7,43.4,245.8,82.9,249.6,103,124.2,80.8,166.4,4,10,1,6,2,6,2.5,2.9,1.9,10,4,100,12.5,30.2,3.3,18.2,6.5,18.9,7.8,9.4,6.1,12.5,40,38,38,42,42,35,50,51,51,50,47,50,49,49,50,53,51,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,57,57,51,0.732,5.566,6.484,2.223,0.189,10.383,1.558,0.437,0.811,51,15,51,51,450,0.3,0,0,0,0,0,434,2,68.3,4.3,10.3,1.2,6.2,2.2,6.4,2.6,3.2,2.1,87.5,84,87.9,86.6,91.7,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.391,140437,60466,15.205,26.85,79.5,36.3,3.4,3.5,291.86,0.66,615,55,0,0,-11.67,,80,138
9.7.2024,02:02.3,49.8,4902,3012,61.9,1.012,1.035,1.027,1.032,0.955,0.888,0.751,3756.6,3848.2,3848.2,3848.2,3481.7,91.6,3298.5,139,387.5,15.1,272.3,55.2,105.4,60.5,171.1,44.5,139,3.1,9.5,0,6.4,1.1,2.4,1.3,3.2,0.9,9.5,3.1,100,10.5,29.4,1.2,20.2,4.7,8,4.6,12.8,3.4,10.5,41,42,42,42,38,36,48,48,50,50,46,52,52,50,50,54,51,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,54,50,0.732,6.152,6.472,2.093,0.198,10.323,1.56,0.444,0.933,51,15,51,51,450,0.6,0,0,0,0,0,434,2,68.7,3.5,10,0.4,6.8,1.4,2.7,1.5,4.3,1.1,88.5,83.7,87,92.2,91.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.323,140437,60466,15.199,26.835,79.4,36.3,3.5,3.5,287.34,0.65,615,55,0.059,0,-10.005,,80,160.9
9.7.2024,02:04.3,49.8,4901,3013,61.9,1.031,1.035,1.027,1.032,1.027,0.888,0.751,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,137.9,399.9,10.9,174.2,57.1,215.3,59.7,140.8,45.2,137.9,3.4,9.9,0.2,4.2,1.4,5.2,1.4,4.1,1,9.9,3.4,100,10.4,30.4,0.9,12.9,4.7,15.6,4.6,10.7,3.8,10.4,42,42,42,42,42,36,48,49,49,49,47,52,51,51,51,53,51,49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,50,0.732,5.859,6.165,1.941,0.196,10.025,1.539,0.419,0.759,51,15,51,51,450,0.3,0,0,0,0,0,434,2,68.9,3.5,10.4,0.3,4.3,1.5,5.3,1.5,3.6,1.2,88.5,83.1,90.1,90.1,90.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,93,100,No,No,31106,72428,0,0.3,0.3,0,0.238,140437,60467,15.204,26.835,79.4,36.3,3.5,3.5,282.48,0.69,615,55,0.029,0,-8.865,,80,181.6
9.7.2024,02:06.3,49.8,4901,3013,61.9,1.012,0.96,1.027,1.032,1.027,0.891,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,137.2,359.5,12.3,208.9,56.4,222.9,66.7,105.7,64.8,137.2,3.8,9.6,1,5.7,2.1,6.1,1.5,3.2,1.5,9.6,3.8,100,10.4,27.4,1,15.6,4.6,16.2,5.1,8.3,5.2,10.4,41,38,42,42,42,36,49,51,49,49,46,51,49,51,51,54,51,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,51,0.732,5.859,6.193,1.885,0.179,10.265,1.546,0.42,0.904,51,15,51,51,450,0.3,0,0,0,0,0,434,2,68.8,3.5,9.3,0.4,5.2,1.5,5.5,1.7,2.8,1.7,88.4,84.4,88.7,89.5,90.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,93,100,No,No,31106,72428,0,0.1,0.1,0,0.428,140437,60467,15.198,26.835,79.4,36.3,3.5,3.5,287.38,0.68,615,55,0.082,0.086,-9.33,,80,172.6
9.7.2024,02:08.3,49.8,4901,3013,61.9,1.012,0.96,1.027,1.032,1.027,0.891,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,138.9,358.1,16.9,208.6,55.7,224.6,72,95,80.3,138.9,3.2,8.8,0,4.9,1.2,5.3,1.6,2.2,1.8,8.8,3.2,100,10.5,27.1,1.3,15.6,4.5,16.6,5.6,7.3,6.2,10.5,41,38,42,42,42,36,48,48,49,48,46,52,52,51,52,54,51,49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,51,0.732,6.445,6.156,1.805,0.207,10.051,1.543,0.428,0.778,51,15,51,51,450,0.5,0,0,0,0,0,434,2,68.9,3.5,9.3,0.5,5.2,1.4,5.6,1.8,2.5,2.1,88.4,84.5,89,88.5,91.6,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,93,100,No,No,31106,72428,0,0,0,0,0.21,140437,60468,15.233,26.82,79.4,36.3,3.4,3.4,291.82,0.67,615,55,0.029,0,-8.91,,80,180.6
9.7.2024,02:10.3,49.8,4901,3013,61.9,1.012,0.96,1.027,1.032,1.027,0.891,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,146,376.7,21.8,214.2,73.3,229.8,72.6,133,46.4,146,3.8,9.3,1.2,5.1,1.7,5.5,2.4,3.1,1.8,9.3,3.8,100,11.1,28.6,1.8,15.8,6.2,16.8,5.5,9.9,3.8,11.1,41,38,42,42,42,36,48,49,50,49,46,52,51,50,51,54,51,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,50,0.732,6.445,6.489,2.08,0.196,10.328,1.55,0.448,0.811,51,15,51,51,450,0.7,0,0,0,0,0,434,2,67.4,3.7,9.7,0.6,5.3,2,5.7,1.8,3.3,1.2,88,83.5,87.5,89.1,91.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,93,100,No,No,31106,72428,0,0.1,0.1,0,0.306,140437,60468,15.191,26.82,79.4,36.3,3.5,3.6,282.81,0.67,615,55,0,0,-9.66,,80,166.6
9.7.2024,02:12.3,49.8,4901,3013,61.9,1.031,1.035,1.027,1.032,1.027,0.888,0.753,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,135.1,347.9,15.7,257.3,47.4,181.9,78,95.3,57.2,135.1,3,8.6,0,6.1,1,4.3,0.9,2.2,1.2,8.6,3,100,10.2,26.9,1.2,19,3.8,13.3,5.9,7.4,4.4,10.2,42,42,42,42,42,36,49,49,49,50,47,51,51,51,50,53,50,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,50,0.732,6.152,6.056,1.685,0.199,10.141,1.538,0.42,0.897,51,15,51,51,450,0.4,0,0,0,0,0,434,2,69.4,3.4,9.1,0.4,6.4,1.2,4.5,2,2.5,1.4,88.8,83.5,88.6,90.3,92.7,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,41,93,100,No,No,31106,72428,0,0.1,0.1,0,0.355,140437,60469,15.211,26.82,79.4,36.3,3.6,3.6,279.12,0.74,615,55,0.059,0,-8.835,,80,182.1
9.7.2024,10:20.7,50.1,4972,2942,62.8,0.975,0.96,0.955,0.957,1.027,0.871,0.748,3573.4,3481.7,3481.7,3481.7,3848.2,91.6,3206.9,211.5,484.3,61.5,355.9,123.6,255.2,102.7,153.6,155.2,211.5,5.9,12.1,2.1,9.4,3.6,6.9,3.8,4.4,5.2,12.1,5.9,100,16.1,36.6,4.9,26.9,9.7,19.2,7.8,11.6,11.7,16.1,39,38,38,38,42,35,52,51,53,53,49,48,49,47,47,51,54,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,52,0.73,10.254,7.511,2.87,0.265,11.91,1.604,0.492,1.056,51,15,51,51,450,2,0,0,0,0,0,426,2,61.8,5.5,12.5,1.6,9.2,3.1,6.5,2.6,4,4.1,82.5,77.8,80.2,84.8,87.4,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0.018,0.359,140440,60621,15.089,25.47,75.4,36.3,9.8,9.5,101.6,0.75,615,55,0,0,-9.54,,75,160.2
9.7.2024,10:22.7,50.2,4978,2936,62.9,1.012,0.96,1.027,1.032,1.027,0.888,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3298.5,310.5,600.5,200.2,513.3,117.2,318.9,177.1,221.3,335.9,310.5,7.9,15.8,5,12.8,3.6,8,4.4,5.6,8.4,15.8,7.9,100,23.3,45.3,14.9,37.7,9.1,24.2,13.5,16.8,24.9,23.3,41,38,42,42,42,36,51,52,52,51,48,49,48,48,49,52,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,52,0.73,5.274,8.857,4.276,0.267,13.517,1.642,0.544,1.014,51,15,51,51,450,1.7,0,0,0,0,0,427,2,54.9,8,15.6,5.1,13,3,8.3,4.6,5.8,8.6,78.3,72.1,79.3,80.2,81.6,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.3,0.4,0.008,1.105,140440,60624,14.921,25.455,75.4,36.3,13.1,12.8,76.36,0.92,615,55,0.088,0.034,-14.175,,75,107.7
9.7.2024,10:24.7,50,4943,2971,62.4,1.012,0.96,1.03,1.032,1.027,0.871,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3206.9,173.1,427.9,47,293.9,64.5,191.8,71.5,182.6,105.6,173.1,4.2,10.6,1.1,7,1.5,4.6,1.6,4.3,2.5,10.6,4.2,100,13.1,32.8,3.6,22,5.2,14.6,5.6,13.5,7.9,13.1,41,38,42,42,42,35,51,51,53,52,48,49,49,47,48,52,53,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,53,0.73,5.274,6.912,2.46,0.278,11.188,1.588,0.46,0.965,51,15,51,51,450,1,0,0,0,0,0,427,2,63.9,4.4,11.1,1.2,7.4,1.7,4.9,1.8,4.6,2.7,86.1,80.3,86,88.2,89.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.273,140440,60624,15.11,25.455,75.4,36.3,13.2,13.3,75.78,0.8,615,55,0.059,0.053,-9.99,,75,152.9
9.7.2024,10:26.7,49.9,4938,2976,62.3,1.031,1.035,1.027,1.032,1.027,0.871,0.751,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3206.9,177.2,445.7,77.9,247.7,52.2,196.7,74.9,175.7,146.8,177.2,4,11.1,1.1,6,0.4,4.7,1,4.2,3.5,11.1,4,100,13.3,33.8,5.8,18.1,4.2,15,5.8,13.3,10.7,13.3,42,42,42,42,42,35,50,51,51,51,48,50,49,49,49,52,53,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,52,0.73,5.566,7.126,2.404,0.232,11.427,1.601,0.481,1.126,51,15,51,51,450,0.7,0,0,0,0,0,427,2,64.5,4.5,11.5,2,6.1,1.4,5,1.9,4.4,3.6,86.4,79.7,89.3,88.5,88.2,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31106,72428,0,0.2,0.3,0.024,0.561,140440,60625,15.076,25.44,75.3,36.3,14.9,15.1,67.15,0.67,615,55,0,0,-12.795,,75,119.3
9.7.2024,10:28.7,49.9,4939,2975,62.4,1.031,1.035,1.027,1.032,1.027,0.871,0.751,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3206.9,146.1,438.5,67,203.1,66.5,95.8,116.7,131.9,49.3,146.1,3.6,10.9,1.6,4.8,2.3,2.2,2.7,3.1,1.1,10.9,3.6,100,11.1,32.8,5,15.3,5.3,7.6,8.8,10.1,4.1,11.1,42,42,42,42,42,35,50,49,51,51,48,50,51,49,49,52,52,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,51,0.73,6.152,6.483,2.116,0.261,10.304,1.569,0.462,0.798,51,15,51,51,450,0.8,0,0,0,0,0,427,2,69,3.7,11.2,1.7,5.1,1.7,2.5,2.9,3.3,1.4,88.1,82.2,88.9,90,91.3,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.145,140440,60625,15.132,25.44,75.3,36.3,11.5,11.6,87.18,0.7,615,55,0.059,0.021,-10.86,,75,140.6
9.7.2024,10:30.8,49.9,4937,2977,62.3,0.993,0.96,1.027,0.957,1.027,0.888,0.751,3665,3481.7,3848.2,3481.7,3848.2,91.6,3206.9,139.6,428,50.2,225.6,56.5,117.5,62.2,118.3,58.5,139.6,3.3,10.6,1.9,5.3,0.5,2.8,2.1,2.6,0.5,10.6,3.3,100,10.7,32.2,3.8,16.5,4.7,9.1,4.8,9.2,5,10.7,40,38,42,38,42,35,50,52,50,52,48,50,48,50,48,52,52,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,51,0.73,9.668,6.184,1.926,0.226,10.256,1.558,0.438,0.866,51,15,51,51,450,0.6,0,0,0,0,0,427,2,69.6,3.6,11,1.3,5.6,1.5,3,1.6,3.1,1.6,88,82,89,91.1,90.1,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,43,93,100,No,No,31106,72428,0,0.2,0.2,0,0.542,140440,60626,15.045,25.44,75.3,36.3,9.7,9.8,103.57,0.77,615,55,0,0,-11.79,,75,129.4
9.7.2024,10:32.8,49.9,4937,2977,62.3,1.031,1.035,1.027,1.032,1.027,0.888,0.751,3848.2,3848.2,3848.2,3848.2,3848.2,91.6,3298.5,139.2,448.2,124.8,149.8,42.8,148.5,63.4,97.5,38.9,139.2,3.2,11.1,2.9,3.5,0.9,3.5,0.6,2.2,0.8,11.1,3.2,100,10.6,33.6,9.1,11,3.5,11.7,5,7.5,3.2,10.6,42,42,42,42,42,36,50,51,51,51,49,50,49,49,49,51,52,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,51,0.73,6.152,6.114,1.789,0.23,10.201,1.551,0.421,0.869,51,15,51,51,450,0.5,0,0,0,0,0,427,2,69.8,3.5,11.5,3.1,3.7,1.1,3.8,1.6,2.5,1,88.6,80,92.2,89.6,92.8,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.367,140440,60627,14.996,25.425,75.3,36.3,8.3,8.4,120.13,0.79,615,55,0.029,0,-12.735,,75,119.8
9.7.2024,10:34.8,49.9,4936,2977,62.3,1.012,0.96,1.027,1.032,1.027,0.871,0.751,3756.6,3481.7,3848.2,3848.2,3848.2,91.6,3206.9,138.6,415.1,47,216,36.7,161.9,59.8,120.7,51.2,138.6,4.4,11,1.9,5.9,2.4,4.7,2.9,3.5,2.7,11,4.4,100,10.6,31.1,3.5,15.8,3,12.3,4.6,10,4.3,10.6,41,38,42,42,42,35,50,51,49,50,48,50,49,51,50,52,52,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,51,0.732,6.152,6.23,1.903,0.22,10.107,1.554,0.421,0.81,51,15,51,51,450,0.5,0,0,0,0,0,427,2,70.1,3.5,10.5,1.2,5.3,1,4.1,1.5,3.3,1.3,88.4,83.5,90.7,90.3,89,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.29,140440,60628,14.953,25.425,75.3,36.3,7.5,7.6,134.11,0.76,615,55,0.058,0,-9,,75,169.5
9.7.2024,10:36.8,49.9,4936,2977,62.3,1.012,1.035,1.027,0.957,1.027,0.888,0.751,3756.6,3848.2,3848.2,3481.7,3848.2,91.6,3298.5,139.8,417.6,17.2,220.4,63,111.5,74.6,139.9,74.3,139.8,3.1,10.3,0.3,5.2,1.4,1.9,1.7,3.2,0.9,10.3,3.1,100,10.7,31.3,1.4,16.1,5.2,8.4,5.7,11.1,6.1,10.7,41,42,42,38,42,36,51,50,53,50,52,49,50,47,50,48,53,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,51,0.73,5.566,6.365,1.995,0.191,10.306,1.569,0.464,0.902,51,15,51,51,450,0.8,0,0,0,0,0,427,2,69.9,3.6,10.6,0.5,5.5,1.6,2.8,1.9,3.7,1.9,88.3,83.7,89.1,91.7,88.6,1954.7,21.33,36,39,39,90,129,598,1,2,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,42,93,100,No,No,31106,72428,0,0.1,0.1,0,0.285,140440,60628,15.135,25.425,75.3,36.3,6.8,6.9,146.4,0.75,615,55,0,0,-8.31,,75,183.6
